,assignee,DA,exampleFromPaper,example1,transcriptName1,rowNumber1,example2,transcriptName2,rowNumber2,example3,transcriptName3,rowNumber3,,,
0,Kevin,Hint: Information,It can be any one of the cards in the deck.," So if you had $200 of non disposable and $200 of disposable, that means that you had $400 total in income.",575ada37-caf9-4dc6-9956-6d2e115bcf9f,235," So when I say like dissolves, like, it just means that polar things dissolve in polar things.",575ada37-caf9-4dc6-9956-6d2e115bcf9f,671," I found the net field, but what that means is I found double the Y components.",9b2cf845-211b-489c-b799-fac19b192aaa,289,,,
1,Kevin,Hint: Observation,We have 80.,So we know that there are certain factors that affect solubility.,0e204b03-0e0c-49ef-aa70-52f5e4d08ff1,46," So the answer we got times 9.1, times ten to the negative 31.",9b2cf845-211b-489c-b799-fac19b192aaa,225,"There's r one.
",9b2cf845-211b-489c-b799-fac19b192aaa,238,,,
2,Kevin,Directive,Check this definition.,"So if we look at this graph, we can see that sodium chloride is here.",0e204b03-0e0c-49ef-aa70-52f5e4d08ff1,123,"So NaCl, we can look at a pair up table for that.",0e204b03-0e0c-49ef-aa70-52f5e4d08ff1,864,The only other thing I can suggest is turn your camera.,9b2cf845-211b-489c-b799-fac19b192aaa,23,,,
3,Kevin,Acknowledge,Alright!,Exactly.,575ada37-caf9-4dc6-9956-6d2e115bcf9f,149,Correct,575ada37-caf9-4dc6-9956-6d2e115bcf9f,148,All right.,0e204b03-0e0c-49ef-aa70-52f5e4d08ff1,37,,,
4,Kevin,Evaluation Question,Does that make sense?,How would you describe it?,0e204b03-0e0c-49ef-aa70-52f5e4d08ff1,40," Wait, how did you do that?",575ada37-caf9-4dc6-9956-6d2e115bcf9f,382,How do you use the 45 degree.,575ada37-caf9-4dc6-9956-6d2e115bcf9f,706,,,
5,Mufei,Confirmation Question,Would the answer be 30?," So the first one can't be simplified, right?",8a54562d-c032-4ffb-905a-26eec43c76ac,145," You know that, right?",59f27b8a-1bd6-496f-83a7-52291e54211e,116,Do you see that now?,59f27b8a-1bd6-496f-83a7-52291e54211e,180," I think that's what it means there, right?",59f27b8a-1bd6-496f-83a7-52291e54211e,520
6,Mufei,Positive Feedback,Correct!," Very good, Vincey.",8a54562d-c032-4ffb-905a-26eec43c76ac,342,Nice.,8a54562d-c032-4ffb-905a-26eec43c76ac,163,Exactly.,8a54562d-c032-4ffb-905a-26eec43c76ac,337,You did so much better this time.,cf218324-cb81-406a-9217-78ccc4a7b387,621
7,Mufei,Negative Feedback,"No, it is incorrect.",No.,59f27b8a-1bd6-496f-83a7-52291e54211e,393," No, this is because in the second equation, two divided by x squared, x squared becomes a bigger number.",59f27b8a-1bd6-496f-83a7-52291e54211e,121," No, that's not right.",2906a39f-a6d1-4115-a92d-d98ba5a4f7c3,407,,,
8,Mufei,Correction,We will,"Sorry, k equals 1.",cba6745b-33df-4d20-83e7-59156af951b3,530," No, it's 1712.",2906a39f-a6d1-4115-a92d-d98ba5a4f7c3,361," Hold on, let me fix it.",cf218324-cb81-406a-9217-78ccc4a7b387,640,,,
9,Mufei,Direction Question,How do I do that?,So what do we do now?,cba6745b-33df-4d20-83e7-59156af951b3,476,"How do I make it go, like down?",904ea697-0df9-4733-91b2-b0c56560eb2f,85,How do I find this question?,1576aa1e-adb5-4f36-9ef1-be49014e19aa,398,"So if we're doing perpendicular, what do we do?",02390ef7-1288-40b8-bdef-741117db246a,68
